iter	Logloss
116	0.1492432472
117	0.1489101903
118	0.1485432915
119	0.1482982579
120	0.1479129664
121	0.1475070447
122	0.1472751505
123	0.1468574852
124	0.1466634458
125	0.1464591305
126	0.1462371931
127	0.1461417552
128	0.1457901785
129	0.1455907889
130	0.1454074398
131	0.1451878374
132	0.1448941018
133	0.1446879782
134	0.1443652468
135	0.143974185
136	0.1437773837
137	0.1435091811
138	0.1432174239
139	0.142821197
140	0.1425193583
141	0.1422332818
142	0.1419858259
143	0.1417364942
144	0.141602502
145	0.1413257461
146	0.1410106937
147	0.1406337526
148	0.1404058828
149	0.1402159904
150	0.1399538493
151	0.1395629696
152	0.1392989722
153	0.1390602184
154	0.1388489047
155	0.1386319436
156	0.138385614
157	0.138135133
158	0.1379129714
159	0.1377938052
160	0.1375744637
161	0.1372563735
162	0.1370970983
163	0.1368246232
164	0.1364909681
165	0.1363474261
166	0.1361564324
167	0.1360455389
168	0.1358353801
169	0.1356185611
170	0.1353943737
171	0.1350796239
172	0.1348805657
173	0.134634916
174	0.1344141538
175	0.1341939738
176	0.1339681722
177	0.1337357256
178	0.1334193593
179	0.1332473267
180	0.1330850104
181	0.1328178735
182	0.1326165811
183	0.1324301221
184	0.1322268258
185	0.1319341478
186	0.1315809643
187	0.1313095887
188	0.1310855097
189	0.130828163
190	0.1306218074
191	0.1304580567
192	0.1302782885
193	0.130143788
194	0.1299579679
195	0.1297880299
196	0.1296092383
197	0.1293745772
198	0.1291579757
199	0.1289964299
200	0.1287140522
201	0.1285625028
202	0.1283643493
203	0.1280210856
204	0.1279487052
205	0.1277563491
206	0.1275929367
207	0.1274464771
208	0.127224236
209	0.1271503696
210	0.1268477403
211	0.1266638678
212	0.1264535038
213	0.1262867254
214	0.1261332825
215	0.1259674508
216	0.1258257969
217	0.1255794634
218	0.1253583536
219	0.1252337535
220	0.1251167296
221	0.1248977769
222	0.1246447516
223	0.1244288744
224	0.1241844449
225	0.1238921012
226	0.1236887206
227	0.1234438645
228	0.1232918909
229	0.1230279666
230	0.1229278998
231	0.12262974
232	0.122570539
233	0.1223880173
234	0.1221948589
235	0.1219427661
236	0.1217247045
237	0.1216177884
238	0.1215307044
239	0.1213803478
240	0.1211003132
241	0.1208488963
242	0.1205514865
243	0.120324149
244	0.120184036
245	0.1200668605
246	0.1198491767
247	0.1196621503
248	0.119548807
249	0.1193898046
250	0.1191584631
251	0.1190633845
252	0.1189759326
253	0.118710567
254	0.1185255687
255	0.1183623256
256	0.1183118581
257	0.1182214357
258	0.1180525992
259	0.1178353575
260	0.1176598718
261	0.1174335123
262	0.117285041
263	0.1170914411
264	0.1170027847
265	0.1169123859
266	0.1167701563
267	0.116585688
268	0.1163766188
269	0.116318345
270	0.116121739
271	0.1159548821
272	0.1157668036
273	0.1156678887
274	0.1156177991
275	0.1155654168
276	0.1152846984
277	0.1151516606
278	0.1150032806
279	0.1147424785
280	0.1146223627
281	0.1144205099
282	0.1142745309
283	0.1141677999
284	0.1140782333
285	0.1139454181
286	0.1137263128
287	0.113509941
288	0.1133485949
289	0.1131232971
290	0.1130845843
291	0.1130060417
292	0.1127919459
293	0.1126225941
294	0.1125297207
295	0.1123407092
296	0.1122573298
297	0.1121065664
298	0.1120054381
299	0.1117775155
300	0.1116098515
301	0.1113985353
302	0.1111739834
303	0.1110280194
304	0.1109491164
305	0.110857519
306	0.1107058293
307	0.1105523308
308	0.110439541
309	0.1104050241
310	0.1102517265
311	0.1100938445
312	0.1099564012
313	0.1097817109
314	0.1096415772
315	0.1094140609
316	0.1092837255
317	0.1092169384
318	0.1091841738
319	0.1091144575
320	0.1090865243
321	0.108963149
322	0.1087812261
323	0.1086571763
324	0.1086120906
325	0.1084820608
326	0.1083596096
327	0.1082037415
328	0.1080905052
329	0.1079777022
330	0.1078009079
331	0.1076894873
332	0.107593874
333	0.1074053031
334	0.107295236
335	0.1071929943
336	0.1071568266
337	0.1069602119
338	0.1068795906
339	0.1068614937
340	0.1067627849
341	0.1066704144
342	0.1064431136
343	0.1064102955
344	0.1063676434
345	0.106199176
346	0.1060883331
347	0.1058924006
348	0.1058691502
349	0.1058017706
350	0.1057849195
351	0.1056181158
352	0.1054819435
353	0.1053450745
354	0.1051764249
355	0.1050507303
356	0.1049368279
357	0.1046846075
358	0.1045085726
359	0.1044141134
360	0.1043318083
361	0.1041726444
362	0.1040341965
363	0.1038333421
364	0.1036320837
365	0.1034584338
366	0.1032984213
367	0.1031129539
368	0.1030392371
369	0.102896088
370	0.1027385206
371	0.102625225
372	0.1024682258
373	0.1023548248
374	0.1022258893
375	0.1020424953
376	0.1019429537
377	0.101743377
378	0.1016243951
379	0.1015517157
380	0.1014176036
381	0.1012474436
382	0.1011605409
383	0.1010599817
384	0.1010338611
385	0.1008787358
386	0.1007519401
387	0.1005399884
388	0.1004087273
389	0.1002139803
390	0.1000697995
391	0.09994037547
392	0.09991975964
393	0.09977122351
394	0.09965213918
395	0.09953200452
396	0.09951476462
397	0.09935344406
398	0.09925449573
399	0.09923119522
400	0.09907556294
401	0.0989377975
402	0.09873953615
403	0.09864024662
404	0.09856940759
405	0.09845753697
406	0.09834799611
407	0.09828365166
408	0.09816444916
409	0.09812356801
410	0.0980107551
411	0.09787805467
412	0.0977871113
413	0.09772748801
414	0.09769123181
415	0.09762245452
416	0.09756168114
417	0.09745156741
418	0.09727619281
419	0.09726333006
420	0.09725449831
421	0.09718941879
422	0.09709566515
423	0.09688707829
424	0.09686051421
425	0.09679175648
426	0.09668450765
427	0.09653070551
428	0.0963995392
429	0.09636780424
430	0.09629667178
431	0.09626963385
432	0.09618356769
433	0.09611951472
434	0.09596982671
435	0.09587418875
436	0.0957148392
437	0.09561718839
438	0.09554172559
439	0.09539231616
440	0.09528376572
441	0.09510801535
442	0.09493987593
443	0.09491621065
444	0.09481919336
445	0.09476626501
446	0.09464514799
447	0.09448005679
448	0.09446610328
449	0.09439278281
450	0.09430732343
451	0.09417422817
452	0.09409237313
453	0.09401803848
454	0.09389964829
455	0.09375874523
456	0.0936870767
457	0.09360496782
458	0.09359213342
459	0.09346284166
460	0.09332314613
461	0.09316286076
462	0.09301296423
463	0.09276098692
464	0.0926739841
465	0.09262148169
466	0.09260554445
467	0.09253568297
468	0.09246986117
469	0.09238007702
470	0.092295194
471	0.09214804122
472	0.092088553
473	0.09197071941
474	0.09184366164
475	0.09174833257
476	0.09162609886
477	0.0915428892
478	0.09142763471
479	0.09128096914
480	0.09114414706
481	0.09100541114
482	0.09093970175
483	0.09087699173
484	0.0907897636
485	0.09068297361
486	0.09062917479
487	0.09054890201
488	0.0904634887
489	0.09032316953
490	0.09028150553
491	0.0902393428
492	0.09017096951
493	0.09010602902
494	0.08997909016
495	0.08980572267
496	0.08968165868
497	0.08950799392
498	0.08939590549
499	0.08929996647
500	0.08921327387
501	0.08910536619
502	0.08894903539
503	0.08892608715
504	0.08882279508
505	0.08875765555
506	0.08866778418
507	0.08855152898
508	0.08849982895
509	0.08838678252
510	0.088300019
511	0.08821897258
512	0.08817478862
513	0.08809783465
514	0.08800860314
515	0.08787950686
516	0.08782544419
517	0.08765999737
518	0.08763808555
519	0.0875157352
520	0.08743552335
521	0.08741501016
522	0.08735977479
523	0.0873020817
524	0.08724894699
525	0.08722988483
526	0.08715327809
527	0.0870934569
528	0.08702732937
529	0.08697208197
530	0.08691624935
531	0.08689847664
532	0.08682543468
533	0.08670954628
534	0.0866142692
535	0.08654786979
536	0.08647868087
537	0.08637323167
538	0.08630340831
539	0.08621647341
540	0.08613720223
541	0.08599880694
542	0.08595529206
543	0.08584913509
544	0.08577878032
545	0.08569945458
546	0.08561102057
547	0.08551815766
548	0.08546423136
549	0.08539560451
550	0.08533515894
551	0.0852347799
552	0.08512071706
553	0.08504982312
554	0.08493968738
555	0.08486967594
556	0.08474726537
557	0.0846312697
558	0.08452132941
559	0.08442608139
560	0.08426539971
561	0.08415197989
562	0.08409983544
563	0.08396509905
564	0.08388328306
565	0.08384676798
566	0.08377731227
567	0.08367537464
568	0.08360463013
569	0.08356370638
570	0.08347050829
571	0.08342422911
572	0.08338276696
573	0.08331633982
574	0.08321869023
575	0.08315789815
576	0.08299397288
577	0.08295736073
578	0.08294140918
579	0.08285126652
580	0.08281455175
581	0.0827092187
582	0.08269509159
583	0.08261021306
584	0.08251758473
585	0.08244805846
586	0.08239266353
587	0.08228674482
588	0.08225311313
589	0.08217441553
590	0.08212795197
591	0.08203178971
592	0.08198170335
593	0.08188855233
594	0.08181540216
595	0.08172651362
596	0.08169261369
597	0.0816233605
598	0.08154133179
599	0.08147130694
600	0.08137183615
601	0.08136340181
602	0.08126805486
603	0.08116714027
604	0.08106547931
605	0.08098106667
606	0.08092902667
607	0.08084073369
608	0.08075979784
609	0.0806340799
610	0.08054761149
611	0.08047328839
612	0.08038933421
613	0.08028400364
614	0.08022269115
615	0.08013838418
616	0.08009016688
617	0.08001075838
618	0.07986642197
619	0.07978916638
620	0.07971829705
621	0.07961674647
622	0.07957850751
623	0.07954135642
624	0.07945071199
625	0.07939052335
626	0.0792856504
627	0.07921239773
628	0.07910235254
629	0.07902755491
630	0.07901416259
631	0.07894017825
632	0.07883776403
633	0.07873828356
634	0.07868236798
635	0.07859528495
636	0.07854732111
637	0.07846984962
638	0.07838952794
639	0.07830603383
640	0.07824179088
641	0.07820343292
642	0.07809208103
643	0.0779987979
644	0.07795283769
645	0.077867804
646	0.07781055417
647	0.07774328197
648	0.07766382283
649	0.07761663855
650	0.07753653796
651	0.07745987323
652	0.07737827914
653	0.07732378717
654	0.07725608628
655	0.07717589057
656	0.07707978872
657	0.07699746873
658	0.07690206913
659	0.07679163413
660	0.07671620639
661	0.07666441843
662	0.07661549376
663	0.07658468413
664	0.07647438372
665	0.07637762719
666	0.0763099656
667	0.07624797455
668	0.07618373805
669	0.07610849509
670	0.07603877939
671	0.07597945816
672	0.07590121913
673	0.07583106805
674	0.07574423802
675	0.07569282387
676	0.07565266601
677	0.07556747824
678	0.07549819962
679	0.07539991936
680	0.07529962913
681	0.07525043305
682	0.07521505085
683	0.07513310276
684	0.07507003028
685	0.07501536217
686	0.07495688113
687	0.07486844745
688	0.07482901522
689	0.07475388603
690	0.07472435764
691	0.0746875457
692	0.07462204316
693	0.07456726679
694	0.07453301407
695	0.07447128013
696	0.07439065176
697	0.07431599391
698	0.07426957706
699	0.07421402343
700	0.07415998085
701	0.07408683108
702	0.07398057407
703	0.07392903067
704	0.07386887102
705	0.07377143487
706	0.07366409272
707	0.073574108
708	0.0735028775
709	0.07344154004
710	0.0733687705
711	0.0732518905
712	0.07319411358
713	0.07317169405
714	0.07312458348
715	0.073026265
716	0.07300599637
717	0.07292342482
718	0.0728242237
719	0.07273137692
720	0.07267741623
721	0.07261159933
722	0.07254598831
723	0.07246899462
724	0.07239625798
725	0.072344327
726	0.07232877166
727	0.07225826066
728	0.07220641965
729	0.07215795955
730	0.07210794993
731	0.07208496923
732	0.07198089037
733	0.07191702826
734	0.07179572955
735	0.07177108545
736	0.07169280151
737	0.07164169432
738	0.07155091047
739	0.07147329423
740	0.07141209103
741	0.07132559157
742	0.07127927146
743	0.07119333334
744	0.07117588128
745	0.07110047516
746	0.07108026057
747	0.07100356758
748	0.07098677532
749	0.07092185001
750	0.07085335452
751	0.07080723193
752	0.07072578987
753	0.07066645037
754	0.07061237951
755	0.07054875702
756	0.07049764095
757	0.07042771834
758	0.0703640758
759	0.07029792324
760	0.0702483394
761	0.07018628541
762	0.07010385598
763	0.07005042785
764	0.07004395824
765	0.069984587
766	0.06991948183
767	0.06989000051
768	0.06986754276
769	0.06980341121
770	0.06978134872
771	0.06976727946
772	0.06969836789
773	0.06964308775
774	0.069556202
775	0.06946493316
776	0.06941506136
777	0.06936783395
778	0.0693283338
779	0.06927434121
780	0.06926304475
781	0.06921081191
782	0.06916122576
783	0.0691466832
784	0.06908890302
785	0.06905467815
786	0.06898628999
787	0.06891593764
788	0.06885919399
789	0.0687931163
790	0.06872690163
791	0.06864539107
792	0.0686136639
793	0.06859117614
794	0.06851486037
795	0.06848411023
796	0.0684214657
797	0.06836852644
798	0.0682919343
799	0.06822347662
800	0.06814498111
801	0.06809490491
802	0.06808240025
803	0.06802655741
804	0.06796905855
805	0.06789871118
806	0.0678447745
807	0.06775740823
808	0.06768796165
809	0.06764414279
810	0.06759923583
811	0.06754040781
812	0.06746878069
813	0.06741713045
814	0.06733394217
815	0.06730185117
816	0.06722785863
817	0.06719413397
818	0.06714660386
819	0.06707586633
820	0.06704778297
821	0.06702673796
822	0.06698026722
823	0.0669655027
824	0.06692121939
825	0.06685949614
826	0.06680588879
827	0.06677384539
828	0.06675920161
829	0.06672436283
830	0.0666749047
831	0.06666708626
832	0.06659131572
833	0.06656430725
834	0.06649824602
835	0.06644618809
836	0.06640561847
837	0.06633729432
838	0.0662938416
839	0.0662421825
840	0.0661903749
841	0.06615481047
842	0.06608023997
843	0.06602975881
844	0.06595006983
845	0.06588224177
846	0.06585792469
847	0.06582603305
848	0.0657829667
849	0.065735706
850	0.06566730433
851	0.06560371266
852	0.06557506701
853	0.06555032136
854	0.06553761242
855	0.06546969329
856	0.06541015979
857	0.06536823511
858	0.06532155842
859	0.06525637558
860	0.06521269656
861	0.06517838806
862	0.0651566718
863	0.06507505343
864	0.06504571776
865	0.06500791442
866	0.06494945095
867	0.06493688022
868	0.06487903347
869	0.06485955425
870	0.06484164015
871	0.06482888677
872	0.06478767074
873	0.06473366933
874	0.06469204724
875	0.06464223822
876	0.06462532805
877	0.06461010965
878	0.06455843689
879	0.06455492776
880	0.06448765938
881	0.06444767939
882	0.06440782606
883	0.06434652051
884	0.06431801301
885	0.06427305822
886	0.06422022758
887	0.06417012924
888	0.06414182369
889	0.06406787867
890	0.06400926053
891	0.06393447806
892	0.06387792539
893	0.06382833762
894	0.06378506864
895	0.06373054092
896	0.0636907008
897	0.06362890082
898	0.06358541728
899	0.06354016701
900	0.06350530506
901	0.06344053876
902	0.06338349204
903	0.0633328225
904	0.06332248292
905	0.06329343332
906	0.06325005296
907	0.0631774603
908	0.06314911108
909	0.06311083882
910	0.06308500679
911	0.06304056794
912	0.062987679
913	0.06293752876
914	0.06289369685
915	0.0628445926
916	0.06280770422
917	0.06275524258
918	0.06270180423
919	0.06267995464
920	0.06263855637
921	0.06259699619
922	0.06258453247
923	0.0625736078
924	0.06251910589
925	0.06246222838
926	0.06238265677
927	0.0623383504
928	0.06228350849
929	0.06223448734
930	0.06218184247
931	0.06211840156
932	0.06205362026
933	0.06201658395
934	0.06195601594
935	0.06192418436
936	0.06189286538
937	0.06186654859
938	0.06181973337
939	0.0617731818
940	0.06172623828
941	0.06167888833
942	0.06160543136
943	0.0615537624
944	0.06149855157
945	0.06144724021
946	0.06140633785
947	0.06137637144
948	0.06136275585
949	0.06133145225
950	0.0612903137
951	0.06125831727
952	0.06122958589
953	0.06122046096
954	0.06117174156
955	0.06109266323
956	0.0610636705
957	0.06101030435
958	0.06097148506
959	0.06096511154
960	0.06089468012
961	0.06086522926
962	0.06078399809
963	0.06077002821
964	0.06072298549
965	0.06067351385
966	0.06064318025
967	0.06058508045
968	0.06053481668
969	0.06050657609
970	0.0604759395
971	0.0604481717
972	0.06041787467
973	0.06037373859
974	0.06033123005
975	0.06030551594
976	0.06028903104
977	0.06023809131
978	0.06019137533
979	0.06012757473
980	0.06008246927
981	0.06004604216
982	0.06003237526
983	0.0599910878
984	0.05996300129
985	0.05989719962
986	0.05988218161
987	0.05985749807
988	0.05977037989
989	0.05969448366
990	0.05965752593
991	0.05960885844
992	0.05955124244
993	0.05948776144
994	0.05943134105
995	0.05941451877
996	0.05941070557
997	0.05939735529
998	0.05934887064
999	0.05929725151
